run,phase,duration_s,mean_W,p95_W,peak_W,energy_Wh
Dual 1GB (2 cores),overall,174.55200004577637,6.557353931034483,7.256689999999999,8.245545,0.3178897210199688
Quad 2GB (4 cores),overall,95.19899988174438,7.395200200000001,8.1666132,8.95536,0.19555414352658285
