timestamp_iso,timestamp_ms,overall_cpu_pct,load1,load5,load15,burning,workers,cpu0_pct,cpu1_pct,cpu2_pct,cpu3_pct,freq0_khz,freq1_khz,freq2_khz,freq3_khz,temp0_c,voltage_v,current_a,power_w,voltage_raw,current_raw,power_raw
2025-09-29T13:37:37.304399,1759153057304,91,2.96630859375,2.703125,2.0146484375,1,6,95,91,87,91,1600000,1600000,1600000,1600000,51.0,0.216,2.061,6.367,216,20607,63670
2025-09-29T13:37:37.804989,1759153057804,88,2.96630859375,2.703125,2.0146484375,1,6,85,89,88,91,1600000,1600000,1600000,1600000,51.0,0.216,2.061,6.367,216,20607,63670
2025-09-29T13:37:38.306836,1759153058306,90,2.96630859375,2.703125,2.0146484375,1,6,89,91,89,90,1600000,1600000,1600000,1600000,51.0,0.216,2.061,6.367,216,20607,63670
2025-09-29T13:37:38.807686,1759153058807,88,3.36962890625,2.79150390625,2.046875,1,6,91,91,84,85,1600000,1600000,1600000,1600000,51.0,0.216,2.061,6.367,216,20607,63670
2025-09-29T13:37:39.308594,1759153059308,91,3.36962890625,2.79150390625,2.046875,1,6,89,93,95,88,1600000,1600000,1600000,1600000,51.0,0.216,2.061,6.367,216,20607,63670
2025-09-29T13:37:39.818936,1759153059818,88,3.36962890625,2.79150390625,2.046875,1,6,87,83,87,96,1600000,1600000,1600000,1600000,51.0,0.216,2.061,6.367,216,20607,63670
2025-09-29T13:37:40.319836,1759153060319,90,3.36962890625,2.79150390625,2.046875,1,6,91,88,89,91,1600000,1600000,1600000,1600000,51.0,0.216,2.061,6.367,216,20607,63670
2025-09-29T13:37:40.820964,1759153060820,87,3.36962890625,2.79150390625,2.046875,1,6,83,89,91,86,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.367,216,20607,63669
2025-09-29T13:37:41.321694,1759153061321,90,3.36962890625,2.79150390625,2.046875,1,6,91,91,92,87,1600000,1600000,1600000,1600000,51.0,0.216,2.061,6.367,216,20607,63669
2025-09-29T13:37:41.822369,1759153061822,92,3.36962890625,2.79150390625,2.046875,1,6,92,98,93,87,1600000,1600000,1600000,1600000,51.0,0.216,2.061,6.367,216,20607,63669
2025-09-29T13:37:42.324075,1759153062324,86,3.36962890625,2.79150390625,2.046875,1,6,84,86,83,89,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.367,216,20607,63669
2025-09-29T13:37:42.824256,1759153062824,91,3.36962890625,2.79150390625,2.046875,1,6,95,91,81,95,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.367,216,20607,63669
2025-09-29T13:37:43.325490,1759153063325,92,3.36962890625,2.79150390625,2.046875,1,6,89,93,93,94,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.367,216,20607,63669
2025-09-29T13:37:43.827317,1759153063827,90,3.66064453125,2.86181640625,2.07373046875,1,6,92,89,88,92,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.367,216,20607,63669
2025-09-29T13:37:44.328351,1759153064328,88,3.66064453125,2.86181640625,2.07373046875,1,6,81,84,93,95,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.367,216,20607,63668
2025-09-29T13:37:44.829396,1759153064829,91,3.66064453125,2.86181640625,2.07373046875,1,6,91,95,86,93,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.367,216,20607,63668
2025-09-29T13:37:45.330659,1759153065330,84,3.66064453125,2.86181640625,2.07373046875,1,6,89,82,83,84,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.367,216,20607,63668
2025-09-29T13:37:45.831892,1759153065831,91,3.66064453125,2.86181640625,2.07373046875,1,6,89,93,92,92,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.367,216,20607,63668
2025-09-29T13:37:46.333242,1759153066333,90,3.66064453125,2.86181640625,2.07373046875,1,6,87,91,93,90,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.367,216,20607,63668
2025-09-29T13:37:46.833386,1759153066833,91,3.66064453125,2.86181640625,2.07373046875,1,6,89,93,92,91,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.367,216,20607,63668
2025-09-29T13:37:47.335349,1759153067335,93,3.66064453125,2.86181640625,2.07373046875,1,6,90,93,98,91,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.367,216,20607,63668
2025-09-29T13:37:47.835413,1759153067835,90,3.66064453125,2.86181640625,2.07373046875,1,6,83,93,95,90,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.367,216,20607,63667
2025-09-29T13:37:48.337329,1759153068337,89,3.66064453125,2.86181640625,2.07373046875,1,6,90,89,87,89,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.367,216,20607,63667
2025-09-29T13:37:48.838848,1759153068838,89,3.92822265625,2.9306640625,2.1005859375,1,6,91,89,89,87,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.367,216,20607,63667
